,Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,Continent
5862,Swaziland,1983,All genders,Not applicable,Percent,50.5009,Africa
5444,Senegal,1996,All genders,Not applicable,Percent,50.532959999999996,Africa
1133,Cameroon,1986,Female,Not applicable,Percent,50.58925,Africa
5315,Rwanda,1975,Male,Not applicable,Percent,50.61206,Africa
3654,Madagascar,2008,All genders,Not applicable,Percent,50.612809999999996,Africa
2171,Ethiopia,1999,Male,Not applicable,Percent,50.63325,Africa
5297,Rwanda,1983,Male,Not applicable,Percent,50.64093,Africa
1274,Chad,2010,All genders,Not applicable,Percent,50.66485,Africa
4630,Niger,1979,Female,Not applicable,Percent,50.69128,Africa
3487,Lesotho,2004,Male,Not applicable,Percent,50.76535,Africa
5291,Rwanda,1985,Male,Not applicable,Percent,50.82351,Africa
1456,Congo,1996,All genders,Not applicable,Percent,50.8414,Africa
6578,Zambia,1975,Female,Not applicable,Percent,50.85241,Africa
3719,Malawi,2011,All genders,Not applicable,Percent,50.88378,Africa
970,Burundi,2012,All genders,Not applicable,Percent,50.96184,Africa
2320,Gabon,1997,Female,Not applicable,Percent,50.96818,Africa
1127,Cameroon,1988,Female,Not applicable,Percent,50.978629999999995,Africa
1139,Cameroon,1984,All genders,Not applicable,Percent,50.98838,Africa
4653,Nigeria,2006,Male,Not applicable,Percent,51.01648,Africa
5294,Rwanda,1984,All genders,Not applicable,Percent,51.07695,Africa
3244,Kenya,1980,All genders,Not applicable,Percent,51.0906,Africa
6089,Togo,1979,Male,Not applicable,Percent,51.12385,Africa
4623,Niger,1981,All genders,Not applicable,Percent,51.14571,Africa
5841,Swaziland,1990,All genders,Not applicable,Percent,51.17025,Africa
1130,Cameroon,1987,Female,Not applicable,Percent,51.19981,Africa
5831,Swaziland,1993,Male,Not applicable,Percent,51.23502,Africa
5302,Rwanda,1982,Male,Not applicable,Percent,51.24884,Africa
6585,Zimbabwe,2001,Female,Not applicable,Percent,51.26867,Africa
6036,Togo,1999,Male,Not applicable,Percent,51.27698,Africa
4441,Namibia,1992,All genders,Not applicable,Percent,51.28629,Africa
5293,Rwanda,1985,All genders,Not applicable,Percent,51.29461,Africa
4353,Mozambique,2004,Male,Not applicable,Percent,51.30478,Africa
1052,Burundi,1976,Male,Not applicable,Percent,51.34043,Africa
5668,South Africa,1991,Male,Not applicable,Percent,51.36025,Africa
1228,Central African Republic,2010,Male,Not applicable,Percent,51.41995,Africa
2318,Gabon,1997,All genders,Not applicable,Percent,51.421620000000004,Africa
5299,Rwanda,1983,All genders,Not applicable,Percent,51.42315,Africa
4438,Namibia,1994,Male,Not applicable,Percent,51.43719,Africa
4006,Mauritania,1991,All genders,Not applicable,Percent,51.516940000000005,Africa
5887,Swaziland,1975,Female,Not applicable,Percent,51.5635,Africa
5305,Rwanda,1981,All genders,Not applicable,Percent,51.59223,Africa
3655,Madagascar,2008,Male,Not applicable,Percent,51.5998,Africa
1135,Cameroon,1985,Female,Not applicable,Percent,51.60191,Africa
4625,Niger,1981,Male,Not applicable,Percent,51.60587,Africa
2377,Gambia,1996,Male,Not applicable,Percent,51.63627,Africa
4652,Nigeria,2007,Male,Not applicable,Percent,51.638529999999996,Africa
1491,Congo,1978,Female,Not applicable,Percent,51.64244,Africa
1439,Comoros,1994,All genders,Not applicable,Percent,51.692040000000006,Africa
5835,Swaziland,1992,All genders,Not applicable,Percent,51.69782,Africa
6584,Zimbabwe,2001,All genders,Not applicable,Percent,51.69797,Africa
3917,Mali,1979,Male,Not applicable,Percent,51.71293,Africa
1151,Cameroon,1980,All genders,Not applicable,Percent,51.748670000000004,Africa
5864,Swaziland,1982,Female,Not applicable,Percent,51.75698,Africa
5300,Rwanda,1982,All genders,Not applicable,Percent,51.76021,Africa
2390,Gambia,1992,Female,Not applicable,Percent,51.76116,Africa
3508,Lesotho,1997,Male,Not applicable,Percent,51.76247,Africa
5292,Rwanda,1985,Female,Not applicable,Percent,51.785379999999996,Africa
3535,Lesotho,1988,Female,Not applicable,Percent,51.78642,Africa
5860,Swaziland,1984,Male,Not applicable,Percent,51.79399,Africa
4347,Mozambique,2006,Male,Not applicable,Percent,51.850390000000004,Africa
2319,Gabon,1997,Male,Not applicable,Percent,51.86407,Africa
873,Botswana,1978,All genders,Not applicable,Percent,51.892520000000005,Africa
6079,Togo,1982,All genders,Not applicable,Percent,51.950520000000004,Africa
1444,Comoros,1987,All genders,Not applicable,Percent,51.97582,Africa
1149,Cameroon,1981,Male,Not applicable,Percent,52.02875,Africa
2387,Gambia,1993,Male,Not applicable,Percent,52.08778,Africa
5838,Swaziland,1991,All genders,Not applicable,Percent,52.08846,Africa
4598,Niger,1997,All genders,Not applicable,Percent,52.08974,Africa
1140,Cameroon,1984,Female,Not applicable,Percent,52.09424,Africa
5525,Sierra Leone,2012,Female,Not applicable,Percent,52.09836,Africa
6583,Zimbabwe,2001,Male,Not applicable,Percent,52.1208,Africa
5443,Senegal,1997,All genders,Not applicable,Percent,52.14028,Africa
2381,Gambia,1995,Male,Not applicable,Percent,52.16373,Africa
1295,Chad,1999,All genders,Not applicable,Percent,52.174820000000004,Africa
5295,Rwanda,1984,Female,Not applicable,Percent,52.18383,Africa
5298,Rwanda,1983,Female,Not applicable,Percent,52.24708,Africa
5524,Sierra Leone,2012,All genders,Not applicable,Percent,52.24828,Africa
6013,Togo,2010,Female,Not applicable,Percent,52.262840000000004,Africa
3718,Malawi,2011,Female,Not applicable,Percent,52.28369,Africa
5883,Swaziland,1976,All genders,Not applicable,Percent,52.29784,Africa
3463,Lesotho,2012,Male,Not applicable,Percent,52.30151,Africa
4601,Niger,1996,Female,Not applicable,Percent,52.3089,Africa
1265,Central African Republic,1976,Male,Not applicable,Percent,52.32036,Africa
5301,Rwanda,1982,Female,Not applicable,Percent,52.32581,Africa
1154,Cameroon,1979,All genders,Not applicable,Percent,52.33645,Africa
6076,Togo,1983,All genders,Not applicable,Percent,52.37339,Africa
5855,Swaziland,1985,Male,Not applicable,Percent,52.41196,Africa
5523,Sierra Leone,2012,Male,Not applicable,Percent,52.4179,Africa
5469,Senegal,1983,Female,Not applicable,Percent,52.42354,Africa
3498,Lesotho,2000,Male,Not applicable,Percent,52.48664,Africa
3248,Kenya,1978,All genders,Not applicable,Percent,52.48726,Africa
3246,Kenya,1980,Female,Not applicable,Percent,52.50541,Africa
3475,Lesotho,2008,Male,Not applicable,Percent,52.51537,Africa
1494,Congo,1977,Female,Not applicable,Percent,52.52478000000001,Africa
1163,Cameroon,1976,Male,Not applicable,Percent,52.533069999999995,Africa
3528,Lesotho,1990,All genders,Not applicable,Percent,52.56941,Africa
149,Algeria,1975,Female,Not applicable,Percent,52.586009999999995,Africa
2404,Gambia,1984,All genders,Not applicable,Percent,52.59081,Africa
2160,Ethiopia,2003,Female,Not applicable,Percent,52.635569999999994,Africa
1223,Central African Republic,2011,Male,Not applicable,Percent,52.65051999999999,Africa
1049,Burundi,1977,Male,Not applicable,Percent,52.651880000000006,Africa
5876,Swaziland,1978,Female,Not applicable,Percent,52.6839,Africa
667,Benin,1983,Male,Not applicable,Percent,52.697359999999996,Africa
974,Burundi,2011,Female,Not applicable,Percent,52.729459999999996,Africa
977,Burundi,2010,Male,Not applicable,Percent,52.74159,Africa
3536,Lesotho,1987,Female,Not applicable,Percent,52.79046999999999,Africa
1455,Congo,1996,Male,Not applicable,Percent,52.809830000000005,Africa
1165,Cameroon,1975,Male,Not applicable,Percent,52.82519,Africa
5861,Swaziland,1983,Male,Not applicable,Percent,52.84856,Africa
1159,Cameroon,1977,All genders,Not applicable,Percent,52.890919999999994,Africa
5886,Swaziland,1975,All genders,Not applicable,Percent,52.91171,Africa
1273,Chad,2010,Female,Not applicable,Percent,52.92129,Africa
971,Burundi,2012,Male,Not applicable,Percent,52.94791,Africa
4650,Nigeria,2007,All genders,Not applicable,Percent,52.94948,Africa
3541,Lesotho,1986,Female,Not applicable,Percent,53.00015,Africa
1497,Congo,1976,Female,Not applicable,Percent,53.02844,Africa
1250,Central African Republic,1987,Male,Not applicable,Percent,53.03361999999999,Africa
2161,Ethiopia,2003,All genders,Not applicable,Percent,53.07611,Africa
1292,Chad,2000,All genders,Not applicable,Percent,53.10252,Africa
1230,Central African Republic,2009,All genders,Not applicable,Percent,53.10555,Africa
4628,Niger,1980,All genders,Not applicable,Percent,53.10644,Africa
1158,Cameroon,1978,Female,Not applicable,Percent,53.13533,Africa
2163,Ethiopia,2002,Female,Not applicable,Percent,53.1384,Africa
2682,Guinea,1990,All genders,Not applicable,Percent,53.25484,Africa
1253,Central African Republic,1986,All genders,Not applicable,Percent,53.26889,Africa
2338,Gabon,1984,Male,Not applicable,Percent,53.328540000000004,Africa
5304,Rwanda,1981,Female,Not applicable,Percent,53.33322,Africa
1148,Cameroon,1981,All genders,Not applicable,Percent,53.33531,Africa
2376,Gambia,1996,All genders,Not applicable,Percent,53.376940000000005,Africa
2159,Ethiopia,2003,Male,Not applicable,Percent,53.37996,Africa
1144,Cameroon,1982,Male,Not applicable,Percent,53.41248,Africa
1224,Central African Republic,2011,All genders,Not applicable,Percent,53.443709999999996,Africa
5881,Swaziland,1977,Female,Not applicable,Percent,53.457209999999996,Africa
966,Burundi,2013,Male,Not applicable,Percent,53.4732,Africa
1267,Chad,2012,Female,Not applicable,Percent,53.51987,Africa
1227,Central African Republic,2010,All genders,Not applicable,Percent,53.52718,Africa
5843,Swaziland,1989,Male,Not applicable,Percent,53.5372,Africa
1233,Central African Republic,2008,All genders,Not applicable,Percent,53.55675,Africa
2386,Gambia,1993,All genders,Not applicable,Percent,53.57626,Africa
3480,Lesotho,2006,All genders,Not applicable,Percent,53.606869999999994,Africa
1245,Central African Republic,1988,Male,Not applicable,Percent,53.62757,Africa
5842,Swaziland,1990,Male,Not applicable,Percent,53.70743,Africa
160,Angola,1991,All genders,Not applicable,Percent,53.7462,Africa
3504,Lesotho,1998,Male,Not applicable,Percent,53.74896,Africa
6048,Togo,1992,Male,Not applicable,Percent,53.80522,Africa
3977,Mauritania,2005,Male,Not applicable,Percent,53.85511999999999,Africa
2375,Gambia,1997,All genders,Not applicable,Percent,53.87313,Africa
2418,Gambia,1979,All genders,Not applicable,Percent,53.945269999999994,Africa
2175,Ethiopia,1998,Female,Not applicable,Percent,53.96115,Africa
6082,Togo,1981,All genders,Not applicable,Percent,54.04564,Africa
2693,Guinea,1981,All genders,Not applicable,Percent,54.09647,Africa
1299,Chad,1998,Male,Not applicable,Percent,54.108369999999994,Africa
3525,Lesotho,1991,All genders,Not applicable,Percent,54.14293000000001,Africa
2688,Guinea,1984,All genders,Not applicable,Percent,54.16349,Africa
5885,Swaziland,1975,Male,Not applicable,Percent,54.2102,Africa
3509,Lesotho,1996,Male,Not applicable,Percent,54.26756999999999,Africa
1145,Cameroon,1982,All genders,Not applicable,Percent,54.295869999999994,Africa
4354,Mozambique,2004,All genders,Not applicable,Percent,54.309,Africa
2382,Gambia,1994,Male,Not applicable,Percent,54.31244,Africa
2321,Gabon,1996,Female,Not applicable,Percent,54.3282,Africa
6037,Togo,1999,All genders,Not applicable,Percent,54.339969999999994,Africa
1152,Cameroon,1980,Female,Not applicable,Percent,54.351980000000005,Africa
6073,Togo,1984,All genders,Not applicable,Percent,54.37025,Africa
1010,Burundi,1990,Female,Not applicable,Percent,54.38694,Africa
2148,Ethiopia,2007,Female,Not applicable,Percent,54.39078000000001,Africa
5865,Swaziland,1982,All genders,Not applicable,Percent,54.4159,Africa
4651,Nigeria,2007,Female,Not applicable,Percent,54.442440000000005,Africa
6086,Togo,1980,All genders,Not applicable,Percent,54.471090000000004,Africa
6095,Togo,1976,Male,Not applicable,Percent,54.49834,Africa
5880,Swaziland,1977,All genders,Not applicable,Percent,54.50625,Africa
5877,Swaziland,1978,All genders,Not applicable,Percent,54.5239,Africa
2416,Gambia,1980,All genders,Not applicable,Percent,54.58418,Africa
1143,Cameroon,1983,Male,Not applicable,Percent,54.61427,Africa
4009,Mauritania,1990,Female,Not applicable,Percent,54.61456,Africa
1225,Central African Republic,2011,Female,Not applicable,Percent,54.646080000000005,Africa
1469,Congo,1987,Male,Not applicable,Percent,54.64821,Africa
5875,Swaziland,1979,Female,Not applicable,Percent,54.67096,Africa
1238,Central African Republic,1991,Male,Not applicable,Percent,54.688469999999995,Africa
5837,Swaziland,1991,Male,Not applicable,Percent,54.70879,Africa
4613,Niger,1990,Female,Not applicable,Percent,54.74078000000001,Africa
4392,Mozambique,1986,All genders,Not applicable,Percent,54.87453000000001,Africa
1051,Burundi,1976,All genders,Not applicable,Percent,54.88325,Africa
1147,Cameroon,1981,Female,Not applicable,Percent,54.88443,Africa
4346,Mozambique,2007,Male,Not applicable,Percent,54.960359999999994,Africa
2380,Gambia,1995,All genders,Not applicable,Percent,54.973780000000005,Africa
5398,Sao Tome and Principe,1977,All genders,Not applicable,Percent,54.98113000000001,Africa
4626,Niger,1980,Male,Not applicable,Percent,54.98726,Africa
4348,Mozambique,2006,All genders,Not applicable,Percent,55.04826,Africa
3579,Liberia,1978,Male,Not applicable,Percent,55.085159999999995,Africa
3913,Mali,1981,Male,Not applicable,Percent,55.0951,Africa
6091,Togo,1978,All genders,Not applicable,Percent,55.22681,Africa
3916,Mali,1979,All genders,Not applicable,Percent,55.237719999999996,Africa
1043,Burundi,1979,Male,Not applicable,Percent,55.333119999999994,Africa
1146,Cameroon,1982,Female,Not applicable,Percent,55.343,Africa
5870,Swaziland,1980,Female,Not applicable,Percent,55.36229,Africa
2323,Gabon,1996,All genders,Not applicable,Percent,55.38316999999999,Africa
5884,Swaziland,1976,Male,Not applicable,Percent,55.394259999999996,Africa
3976,Mauritania,2005,All genders,Not applicable,Percent,55.4171,Africa
1142,Cameroon,1983,All genders,Not applicable,Percent,55.462740000000004,Africa
5869,Swaziland,1981,Female,Not applicable,Percent,55.47419,Africa
4599,Niger,1997,Female,Not applicable,Percent,55.49431,Africa
1153,Cameroon,1979,Female,Not applicable,Percent,55.50076,Africa
2378,Gambia,1996,Female,Not applicable,Percent,55.501180000000005,Africa
3546,Lesotho,1984,Female,Not applicable,Percent,55.502590000000005,Africa
5879,Swaziland,1977,Male,Not applicable,Percent,55.54441,Africa
5836,Swaziland,1992,Male,Not applicable,Percent,55.6094,Africa
5314,Rwanda,1975,All genders,Not applicable,Percent,55.65309,Africa
2385,Gambia,1993,Female,Not applicable,Percent,55.659240000000004,Africa
1285,Chad,2002,Female,Not applicable,Percent,55.69871,Africa
2080,Eritrea,1995,All genders,Not applicable,Percent,55.75685,Africa
2334,Gabon,1987,Male,Not applicable,Percent,55.761559999999996,Africa
2174,Ethiopia,1998,All genders,Not applicable,Percent,55.77788,Africa
1298,Chad,1998,All genders,Not applicable,Percent,55.85981999999999,Africa
5386,Sao Tome and Principe,1998,All genders,Not applicable,Percent,55.922169999999994,Africa
1226,Central African Republic,2010,Female,Not applicable,Percent,56.08266,Africa
1017,Burundi,1988,Male,Not applicable,Percent,56.11326999999999,Africa
4439,Namibia,1992,Male,Not applicable,Percent,56.11702,Africa
1054,Burundi,1975,Female,Not applicable,Percent,56.136869999999995,Africa
973,Burundi,2011,All genders,Not applicable,Percent,56.19794,Africa
1164,Cameroon,1976,All genders,Not applicable,Percent,56.1996,Africa
666,Benin,1983,All genders,Not applicable,Percent,56.226040000000005,Africa
2149,Ethiopia,2007,All genders,Not applicable,Percent,56.301159999999996,Africa
1050,Burundi,1977,All genders,Not applicable,Percent,56.30518000000001,Africa
5878,Swaziland,1978,Male,Not applicable,Percent,56.35803000000001,Africa
2337,Gabon,1984,All genders,Not applicable,Percent,56.399609999999996,Africa
2322,Gabon,1996,Male,Not applicable,Percent,56.41975,Africa
1141,Cameroon,1983,Female,Not applicable,Percent,56.4532,Africa
1244,Central African Republic,1989,Male,Not applicable,Percent,56.46208000000001,Africa
6071,Togo,1985,Male,Not applicable,Percent,56.53369,Africa
5868,Swaziland,1981,All genders,Not applicable,Percent,56.557559999999995,Africa
3514,Lesotho,1995,Male,Not applicable,Percent,56.56236,Africa
5874,Swaziland,1979,All genders,Not applicable,Percent,56.69215,Africa
4345,Mozambique,2007,All genders,Not applicable,Percent,56.69406,Africa
2176,Ethiopia,1998,Male,Not applicable,Percent,56.69855,Africa
3657,Madagascar,2007,Female,Not applicable,Percent,56.70834,Africa
1167,Cameroon,1975,All genders,Not applicable,Percent,56.7764,Africa
3662,Madagascar,2006,Female,Not applicable,Percent,56.79962,Africa
1161,Cameroon,1977,Female,Not applicable,Percent,56.816140000000004,Africa
4616,Niger,1989,Male,Not applicable,Percent,56.89593000000001,Africa
4629,Niger,1979,All genders,Not applicable,Percent,56.93331,Africa
3920,Mali,1977,All genders,Not applicable,Percent,56.93531,Africa
3978,Mauritania,2005,Female,Not applicable,Percent,56.946709999999996,Africa
1012,Burundi,1989,Male,Not applicable,Percent,56.95851999999999,Africa
2397,Gambia,1986,Female,Not applicable,Percent,56.96702,Africa
5866,Swaziland,1982,Male,Not applicable,Percent,56.978609999999996,Africa
1500,Congo,1975,Female,Not applicable,Percent,57.062580000000004,Africa
3668,Madagascar,2004,Female,Not applicable,Percent,57.088080000000005,Africa
3666,Madagascar,2004,All genders,Not applicable,Percent,57.1178,Africa
2642,Guinea,2013,Male,Not applicable,Percent,57.11975,Africa
3667,Madagascar,2004,Male,Not applicable,Percent,57.14232,Africa
6060,Togo,1988,Male,Not applicable,Percent,57.2978,Africa
3659,Madagascar,2007,All genders,Not applicable,Percent,57.339380000000006,Africa
2383,Gambia,1994,All genders,Not applicable,Percent,57.34734,Africa
4617,Niger,1989,All genders,Not applicable,Percent,57.37341,Africa
1044,Burundi,1979,All genders,Not applicable,Percent,57.38086,Africa
1248,Central African Republic,1987,All genders,Not applicable,Percent,57.387719999999995,Africa
661,Benin,1985,Male,Not applicable,Percent,57.39272,Africa
1261,Central African Republic,1981,Male,Not applicable,Percent,57.41458000000001,Africa
1025,Burundi,1985,Male,Not applicable,Percent,57.45158000000001,Africa
1247,Central African Republic,1988,All genders,Not applicable,Percent,57.49058,Africa
1239,Central African Republic,1990,Male,Not applicable,Percent,57.493230000000004,Africa
3660,Madagascar,2006,All genders,Not applicable,Percent,57.5333,Africa
3531,Lesotho,1989,All genders,Not applicable,Percent,57.59203,Africa
5867,Swaziland,1981,Male,Not applicable,Percent,57.62927,Africa
4005,Mauritania,1992,Male,Not applicable,Percent,57.688359999999996,Africa
4389,Mozambique,1987,Male,Not applicable,Percent,57.7086,Africa
2335,Gabon,1987,All genders,Not applicable,Percent,57.74248000000001,Africa
3906,Mali,1985,Male,Not applicable,Percent,57.745369999999994,Africa
4355,Mozambique,2004,Female,Not applicable,Percent,57.754940000000005,Africa
5445,Senegal,1996,Female,Not applicable,Percent,57.76258000000001,Africa
3912,Mali,1981,All genders,Not applicable,Percent,57.773230000000005,Africa
3726,Malawi,2008,Male,Not applicable,Percent,57.86531,Africa
1290,Chad,2001,Female,Not applicable,Percent,57.87151,Africa
2147,Ethiopia,2007,Male,Not applicable,Percent,57.93906,Africa
3658,Madagascar,2007,Male,Not applicable,Percent,57.95704,Africa
1296,Chad,1999,Female,Not applicable,Percent,57.98276,Africa
6053,Togo,1991,Male,Not applicable,Percent,58.03615,Africa
5871,Swaziland,1980,All genders,Not applicable,Percent,58.04894,Africa
3728,Malawi,2008,All genders,Not applicable,Percent,58.0513,Africa
3645,Madagascar,2011,Female,Not applicable,Percent,58.0523,Africa
1437,Comoros,1998,Male,Not applicable,Percent,58.18735,Africa
4618,Niger,1989,Female,Not applicable,Percent,58.200390000000006,Africa
1046,Burundi,1978,Male,Not applicable,Percent,58.238859999999995,Africa
3661,Madagascar,2006,Male,Not applicable,Percent,58.23956,Africa
6054,Togo,1990,Male,Not applicable,Percent,58.242340000000006,Africa
3727,Malawi,2008,Female,Not applicable,Percent,58.264509999999994,Africa
1440,Comoros,1993,All genders,Not applicable,Percent,58.28695,Africa
3549,Lesotho,1983,Female,Not applicable,Percent,58.29391,Africa
3572,Lesotho,1975,Female,Not applicable,Percent,58.33229,Africa
2139,Ethiopia,2010,Female,Not applicable,Percent,58.369240000000005,Africa
3247,Kenya,1979,All genders,Not applicable,Percent,58.369930000000004,Africa
2694,Guinea,1978,All genders,Not applicable,Percent,58.37458,Africa
6038,Togo,1999,Female,Not applicable,Percent,58.38051,Africa
6088,Togo,1979,All genders,Not applicable,Percent,58.38908000000001,Africa
1264,Central African Republic,1976,All genders,Not applicable,Percent,58.394259999999996,Africa
2677,Guinea,1992,Male,Not applicable,Percent,58.42219,Africa
3984,Mauritania,2001,Female,Not applicable,Percent,58.42576,Africa
5290,Rwanda,1986,Male,Not applicable,Percent,58.4509,Africa
4377,Mozambique,1991,Male,Not applicable,Percent,58.46086,Africa
2407,Gambia,1983,All genders,Not applicable,Percent,58.489830000000005,Africa
2379,Gambia,1995,Female,Not applicable,Percent,58.4949,Africa
4349,Mozambique,2006,Female,Not applicable,Percent,58.55498000000001,Africa
4344,Mozambique,2007,Female,Not applicable,Percent,58.586209999999994,Africa
1028,Burundi,1984,Male,Not applicable,Percent,58.62035,Africa
2145,Ethiopia,2008,Female,Not applicable,Percent,58.631840000000004,Africa
5278,Rwanda,1990,Male,Not applicable,Percent,58.65925,Africa
5873,Swaziland,1979,Male,Not applicable,Percent,58.66721,Africa
3639,Madagascar,2013,Female,Not applicable,Percent,58.707530000000006,Africa
6041,Togo,1996,Male,Not applicable,Percent,58.73231,Africa
6042,Togo,1995,Male,Not applicable,Percent,58.7567,Africa
1436,Comoros,1998,All genders,Not applicable,Percent,58.787259999999996,Africa
1022,Burundi,1986,Male,Not applicable,Percent,58.78828000000001,Africa
6246,Uganda,2001,Male,Not applicable,Percent,58.80068000000001,Africa
3542,Lesotho,1985,Female,Not applicable,Percent,58.810959999999994,Africa
3554,Lesotho,1981,Female,Not applicable,Percent,58.825309999999995,Africa
2411,Gambia,1982,Male,Not applicable,Percent,58.85204,Africa
3520,Lesotho,1993,Male,Not applicable,Percent,59.056630000000006,Africa
5276,Rwanda,1990,All genders,Not applicable,Percent,59.08158,Africa
3559,Lesotho,1980,Female,Not applicable,Percent,59.10173,Africa
2326,Gabon,1992,Female,Not applicable,Percent,59.104580000000006,Africa
5442,Senegal,1997,Female,Not applicable,Percent,59.157169999999994,Africa
3979,Mauritania,2004,Female,Not applicable,Percent,59.16084,Africa
1257,Central African Republic,1982,Male,Not applicable,Percent,59.206990000000005,Africa
1232,Central African Republic,2008,Female,Not applicable,Percent,59.303740000000005,Africa
5288,Rwanda,1986,All genders,Not applicable,Percent,59.309569999999994,Africa
1297,Chad,1998,Female,Not applicable,Percent,59.321940000000005,Africa
3647,Madagascar,2011,All genders,Not applicable,Percent,59.34143,Africa
2138,Ethiopia,2010,All genders,Not applicable,Percent,59.344080000000005,Africa
1438,Comoros,1998,Female,Not applicable,Percent,59.370740000000005,Africa
2671,Guinea,1994,Male,Not applicable,Percent,59.387919999999994,Africa
1270,Chad,2011,Male,Not applicable,Percent,59.4167,Africa
2339,Gabon,1984,Female,Not applicable,Percent,59.42795,Africa
6248,Uganda,2001,All genders,Not applicable,Percent,59.470209999999994,Africa
972,Burundi,2011,Male,Not applicable,Percent,59.47285,Africa
3988,Mauritania,1997,Male,Not applicable,Percent,59.490990000000004,Africa
5277,Rwanda,1990,Female,Not applicable,Percent,59.50979,Africa
1291,Chad,2000,Female,Not applicable,Percent,59.538019999999996,Africa
2373,Gambia,1997,Female,Not applicable,Percent,59.56051,Africa
3982,Mauritania,2001,All genders,Not applicable,Percent,59.570809999999994,Africa
5279,Rwanda,1989,Male,Not applicable,Percent,59.58486,Africa
1034,Burundi,1982,Male,Not applicable,Percent,59.602740000000004,Africa
6066,Togo,1986,Male,Not applicable,Percent,59.6677,Africa
3909,Mali,1984,Male,Not applicable,Percent,59.668519999999994,Africa
2333,Gabon,1987,Female,Not applicable,Percent,59.66996999999999,Africa
627,Benin,1996,Male,Not applicable,Percent,59.672709999999995,Africa
1442,Comoros,1992,Male,Not applicable,Percent,59.7171,Africa
1040,Burundi,1980,Male,Not applicable,Percent,59.75561,Africa
4388,Mozambique,1988,Male,Not applicable,Percent,59.76421,Africa
660,Benin,1985,All genders,Not applicable,Percent,59.780559999999994,Africa
656,Benin,1986,Male,Not applicable,Percent,59.789030000000004,Africa
6252,Uganda,1986,Male,Not applicable,Percent,59.7977,Africa
5256,Rwanda,2008,Female,Not applicable,Percent,59.87283000000001,Africa
1252,Central African Republic,1986,Female,Not applicable,Percent,59.8774,Africa
3650,Madagascar,2010,Female,Not applicable,Percent,59.89945,Africa
3565,Lesotho,1978,Female,Not applicable,Percent,59.93479,Africa
1045,Burundi,1978,All genders,Not applicable,Percent,59.935080000000006,Africa
3641,Madagascar,2013,All genders,Not applicable,Percent,59.948780000000006,Africa
5281,Rwanda,1989,All genders,Not applicable,Percent,60.027159999999995,Africa
3580,Liberia,1978,All genders,Not applicable,Percent,60.03037,Africa
1053,Burundi,1976,Female,Not applicable,Percent,60.0471,Africa
4352,Mozambique,2005,Male,Not applicable,Percent,60.097669999999994,Africa
2140,Ethiopia,2010,Male,Not applicable,Percent,60.16681,Africa
5289,Rwanda,1986,Female,Not applicable,Percent,60.18055,Africa
3911,Mali,1983,All genders,Not applicable,Percent,60.20455,Africa
3905,Mali,1985,All genders,Not applicable,Percent,60.20584,Africa
3571,Lesotho,1976,Female,Not applicable,Percent,60.207080000000005,Africa
6247,Uganda,2001,Female,Not applicable,Percent,60.284659999999995,Africa
1236,Central African Republic,1991,All genders,Not applicable,Percent,60.29804,Africa
2135,Ethiopia,2011,Female,Not applicable,Percent,60.38516,Africa
1042,Burundi,1979,Female,Not applicable,Percent,60.40288,Africa
3560,Lesotho,1979,Female,Not applicable,Percent,60.47005,Africa
5280,Rwanda,1989,Female,Not applicable,Percent,60.47511,Africa
3648,Madagascar,2010,All genders,Not applicable,Percent,60.4807,Africa
5285,Rwanda,1987,Male,Not applicable,Percent,60.50224,Africa
1162,Cameroon,1976,Female,Not applicable,Percent,60.50909,Africa
2402,Gambia,1985,Female,Not applicable,Percent,60.52306,Africa
3553,Lesotho,1982,Female,Not applicable,Percent,60.5589,Africa
4632,Niger,1978,Male,Not applicable,Percent,60.57281999999999,Africa
3646,Madagascar,2011,Male,Not applicable,Percent,60.60715,Africa
3983,Mauritania,2001,Male,Not applicable,Percent,60.6128,Africa
3981,Mauritania,2004,All genders,Not applicable,Percent,60.62599,Africa
5273,Rwanda,1991,Male,Not applicable,Percent,60.638119999999994,Africa
624,Benin,1997,Male,Not applicable,Percent,60.659569999999995,Africa
1037,Burundi,1981,Male,Not applicable,Percent,60.67374,Africa
2328,Gabon,1989,Male,Not applicable,Percent,60.67618,Africa
5275,Rwanda,1991,All genders,Not applicable,Percent,60.6844,Africa
1014,Burundi,1989,All genders,Not applicable,Percent,60.690169999999995,Africa
2329,Gabon,1989,All genders,Not applicable,Percent,60.6927,Africa
3515,Lesotho,1994,Male,Not applicable,Percent,60.70506999999999,Africa
5872,Swaziland,1980,Male,Not applicable,Percent,60.70749,Africa
2327,Gabon,1989,Female,Not applicable,Percent,60.70926,Africa
5274,Rwanda,1991,Female,Not applicable,Percent,60.73075,Africa
4631,Niger,1979,Male,Not applicable,Percent,60.765240000000006,Africa
685,Benin,1976,Male,Not applicable,Percent,60.77145,Africa
3644,Madagascar,2012,Female,Not applicable,Percent,60.80599,Africa
1033,Burundi,1982,All genders,Not applicable,Percent,60.90934,Africa
4351,Mozambique,2005,All genders,Not applicable,Percent,60.910819999999994,Africa
1441,Comoros,1992,All genders,Not applicable,Percent,60.922430000000006,Africa
5272,Rwanda,1992,Male,Not applicable,Percent,60.928340000000006,Africa
5400,Sao Tome and Principe,1977,Female,Not applicable,Percent,60.96324,Africa
