"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Honduras","2013","Not applicable","Not applicable","Percent","88.07088"
"Hungary","2011","Not applicable","Not applicable","Percent","74.69448"
"Hungary","2010","Not applicable","Not applicable","Percent","75.00522"
"Hungary","2009","Not applicable","Not applicable","Percent","76.22474"
"Hungary","2008","Not applicable","Not applicable","Percent","78.46874"
"Hungary","2007","Not applicable","Not applicable","Percent","80.24407"
"Hungary","2006","Not applicable","Not applicable","Percent","79.96312"
"Hungary","2005","Not applicable","Not applicable","Percent","80.16503"
"Hungary","2004","Not applicable","Not applicable","Percent","79.18324"
"Hungary","2003","Not applicable","Not applicable","Percent","80.66244"
"Hungary","2002","Not applicable","Not applicable","Percent","77.64093"
"Hungary","2001","Not applicable","Not applicable","Percent","74.44192"
"Hungary","2000","Not applicable","Not applicable","Percent","74.14301"
"Hungary","1999","Not applicable","Not applicable","Percent","74.22411"
"Hungary","1998","Not applicable","Not applicable","Percent","73.5556"
"Iceland","2011","Not applicable","Not applicable","Percent","76.35554"
"Iceland","2010","Not applicable","Not applicable","Percent","79.08566"
"Iceland","2009","Not applicable","Not applicable","Percent","72.90205"
"Iceland","2008","Not applicable","Not applicable","Percent","74.05735"
"Iceland","2007","Not applicable","Not applicable","Percent","76.35587"
"Iceland","2006","Not applicable","Not applicable","Percent","73.92447"
"Iceland","2005","Not applicable","Not applicable","Percent","76.94694"
"Iceland","2004","Not applicable","Not applicable","Percent","75.76727"
"India","2005","Not applicable","Not applicable","Percent","87.9377"
"India","2004","Not applicable","Not applicable","Percent","87.9377"
"India","2003","Not applicable","Not applicable","Percent","88.47446"
"India","2000","Not applicable","Not applicable","Percent","91.6369"
"India","1999","Not applicable","Not applicable","Percent","88.23784"
"Indonesia","2013","Not applicable","Not applicable","Percent","73.12504"
"Indonesia","2012","Not applicable","Not applicable","Percent","71.23457"
"Indonesia","2011","Not applicable","Not applicable","Percent","78.11068"
"Indonesia","2010","Not applicable","Not applicable","Percent","66.84375"
"Indonesia","2009","Not applicable","Not applicable","Percent","65.59651"
"Indonesia","2008","Not applicable","Not applicable","Percent","68.75598"
"Indonesia","2007","Not applicable","Not applicable","Percent","66.46046"
"Iran, Islamic Republic of","2000","Not applicable","Not applicable","Percent","96.78765"
"Ireland","2012","Not applicable","Not applicable","Percent","79.05412"
"Ireland","2011","Not applicable","Not applicable","Percent","79.14368"
"Ireland","2010","Not applicable","Not applicable","Percent","78.68338"
"Ireland","2009","Not applicable","Not applicable","Percent","82.2429"
"Ireland","2008","Not applicable","Not applicable","Percent","76.08877"
"Ireland","2007","Not applicable","Not applicable","Percent","77.07002"
"Ireland","2006","Not applicable","Not applicable","Percent","80.59307"
"Ireland","2005","Not applicable","Not applicable","Percent","80.50368"
"Ireland","2004","Not applicable","Not applicable","Percent","80.43722"
"Ireland","2003","Not applicable","Not applicable","Percent","81.90479"
"Ireland","2002","Not applicable","Not applicable","Percent","83.41742"
"Ireland","2001","Not applicable","Not applicable","Percent","80.89505"
"Ireland","2000","Not applicable","Not applicable","Percent","81.62679"
"Ireland","1999","Not applicable","Not applicable","Percent","83.49781"
"Ireland","1998","Not applicable","Not applicable","Percent","83.83298"
"Israel","2012","Not applicable","Not applicable","Percent","89.41522"
"Israel","2011","Not applicable","Not applicable","Percent","87.70702"
"Israel","2010","Not applicable","Not applicable","Percent","87.3638"
"Israel","2009","Not applicable","Not applicable","Percent","87.54482"
"Israel","2008","Not applicable","Not applicable","Percent","88.21998"
"Israel","2007","Not applicable","Not applicable","Percent","87.25271"
"Israel","2006","Not applicable","Not applicable","Percent","80.46285"
"Israel","2005","Not applicable","Not applicable","Percent","79.37406"
"Israel","2004","Not applicable","Not applicable","Percent","81.70342"
"Israel","2003","Not applicable","Not applicable","Percent","79.84236"
"Israel","2002","Not applicable","Not applicable","Percent","79.45533"
"Israel","2001","Not applicable","Not applicable","Percent","82.9289"
"Israel","2000","Not applicable","Not applicable","Percent","80.59914"
"Israel","1999","Not applicable","Not applicable","Percent","79.42035"
"Israel","1998","Not applicable","Not applicable","Percent","79.38596"
"Italy","2012","Not applicable","Not applicable","Percent","81.71922"
"Italy","2011","Not applicable","Not applicable","Percent","83.3833"
"Italy","2010","Not applicable","Not applicable","Percent","83.9967"
"Italy","2009","Not applicable","Not applicable","Percent","83.4557"
"Italy","2008","Not applicable","Not applicable","Percent","83.50853"
"Italy","2007","Not applicable","Not applicable","Percent","82.41054"
"Italy","2006","Not applicable","Not applicable","Percent","84.22397"
"Italy","2005","Not applicable","Not applicable","Percent","81.16906"
"Italy","2004","Not applicable","Not applicable","Percent","81.4098"
"Italy","2003","Not applicable","Not applicable","Percent","86.33786"
"Italy","2002","Not applicable","Not applicable","Percent","82.00767"
"Italy","2001","Not applicable","Not applicable","Percent","81.40548"
"Italy","2000","Not applicable","Not applicable","Percent","83.13346"
"Italy","1998","Not applicable","Not applicable","Percent","83.15179"
"Jamaica","2014","Not applicable","Not applicable","Percent","74.67659"
"Jamaica","2012","Not applicable","Not applicable","Percent","95.53812"
"Jamaica","2011","Not applicable","Not applicable","Percent","93.72159"
"Jamaica","2009","Not applicable","Not applicable","Percent","96.58949"
"Jamaica","2008","Not applicable","Not applicable","Percent","95.38056"
"Jamaica","2007","Not applicable","Not applicable","Percent","96.09871"
"Jamaica","2005","Not applicable","Not applicable","Percent","96.51411"
"Jamaica","2004","Not applicable","Not applicable","Percent","93.19262"
"Jamaica","2003","Not applicable","Not applicable","Percent","90.34029"
"Japan","2013","Not applicable","Not applicable","Percent","88.25215"
"Japan","2012","Not applicable","Not applicable","Percent","88.5447"
"Japan","2011","Not applicable","Not applicable","Percent","88.68967"
"Japan","2010","Not applicable","Not applicable","Percent","88.55837"
"Japan","2008","Not applicable","Not applicable","Percent","88.86842"
"Japan","2007","Not applicable","Not applicable","Percent","88.64182"
"Japan","2006","Not applicable","Not applicable","Percent","88.5097"
"Japan","2005","Not applicable","Not applicable","Percent","88.67699"
"Japan","2004","Not applicable","Not applicable","Percent","88.76332"
"Japan","2003","Not applicable","Not applicable","Percent","88.74688"
"Japan","2002","Not applicable","Not applicable","Percent","88.79716"
"Japan","2001","Not applicable","Not applicable","Percent","88.92397"
"Japan","2000","Not applicable","Not applicable","Percent","89.12428"
"Japan","1999","Not applicable","Not applicable","Percent","88.96366"
"Japan","1998","Not applicable","Not applicable","Percent","88.1086"
"Jordan","2011","Not applicable","Not applicable","Percent","100"
"Jordan","2010","Not applicable","Not applicable","Percent","89.18886"
"Jordan","2009","Not applicable","Not applicable","Percent","100"
"Jordan","2008","Not applicable","Not applicable","Percent","92.88882"
"Jordan","2007","Not applicable","Not applicable","Percent","90.35629"
"Jordan","2006","Not applicable","Not applicable","Percent","93.35134"
"Jordan","2005","Not applicable","Not applicable","Percent","94.34291"
"Jordan","2004","Not applicable","Not applicable","Percent","94.3004"
"Jordan","2003","Not applicable","Not applicable","Percent","94.53949"
"Jordan","2002","Not applicable","Not applicable","Percent","95.63594"
"Jordan","2001","Not applicable","Not applicable","Percent","95.789"
"Jordan","1999","Not applicable","Not applicable","Percent","92.49507"
"Jordan","1998","Not applicable","Not applicable","Percent","91.86882"
"Kazakhstan","2014","Not applicable","Not applicable","Percent","68.03593"
"Kazakhstan","2013","Not applicable","Not applicable","Percent","70.04615"
"Kazakhstan","2012","Not applicable","Not applicable","Percent","69.91039"
"Kuwait","2011","Not applicable","Not applicable","Percent","97.31189"
"Kuwait","2008","Not applicable","Not applicable","Percent","88.31458"
"Kuwait","2006","Not applicable","Not applicable","Percent","89.99046"
"Kuwait","2005","Not applicable","Not applicable","Percent","90.7967"
"Kuwait","2004","Not applicable","Not applicable","Percent","93.15866"
"Kuwait","2003","Not applicable","Not applicable","Percent","93.62429"
"Kuwait","2002","Not applicable","Not applicable","Percent","94.01398"
"Kyrgyzstan","2013","Not applicable","Not applicable","Percent","83.24732"
"Latvia","2011","Not applicable","Not applicable","Percent","74.2385"
"Latvia","2010","Not applicable","Not applicable","Percent","75.32654"
"Latvia","2009","Not applicable","Not applicable","Percent","78.93366"
"Latvia","2008","Not applicable","Not applicable","Percent","78.58374"
"Latvia","2007","Not applicable","Not applicable","Percent","76.38094"
"Latvia","2006","Not applicable","Not applicable","Percent","74.80293"
"Latvia","2004","Not applicable","Not applicable","Percent","77.02034"
"Latvia","2003","Not applicable","Not applicable","Percent","76.64783"
"Latvia","2002","Not applicable","Not applicable","Percent","76.22378"
"Latvia","2001","Not applicable","Not applicable","Percent","83.89121"
"Latvia","2000","Not applicable","Not applicable","Percent","92.55774"
"Latvia","1999","Not applicable","Not applicable","Percent","91.50849"
"Lebanon","2012","Not applicable","Not applicable","Percent","95.26263"
"Lesotho","2008","Not applicable","Not applicable","Percent","44.25426"
"Lesotho","2005","Not applicable","Not applicable","Percent","63.18185"
"Lesotho","2001","Not applicable","Not applicable","Percent","89.61548"
"Lesotho","1999","Not applicable","Not applicable","Percent","92.10848"
"Liberia","2013","Not applicable","Not applicable","Percent","93.37574"
"Liechtenstein","2011","Not applicable","Not applicable","Percent","75.6831"
"Liechtenstein","2010","Not applicable","Not applicable","Percent","76.06799"
"Liechtenstein","2008","Not applicable","Not applicable","Percent","65.13848"
"Liechtenstein","2007","Not applicable","Not applicable","Percent","96.07167"
"Lithuania","2011","Not applicable","Not applicable","Percent","82.77226"
"Lithuania","2010","Not applicable","Not applicable","Percent","82.66384"
"Lithuania","2009","Not applicable","Not applicable","Percent","86.89212"
"Lithuania","2008","Not applicable","Not applicable","Percent","82.366"
"Lithuania","2007","Not applicable","Not applicable","Percent","80.85306"
"Lithuania","2006","Not applicable","Not applicable","Percent","81.68479"
"Lithuania","2005","Not applicable","Not applicable","Percent","83.02137"
"Lithuania","2004","Not applicable","Not applicable","Percent","83.38986"
"Lithuania","2003","Not applicable","Not applicable","Percent","84.95878"
"Luxembourg","2011","Not applicable","Not applicable","Percent","90.84654"
"Luxembourg","2010","Not applicable","Not applicable","Percent","86.44176"
"Luxembourg","2009","Not applicable","Not applicable","Percent","87.0278"
"Luxembourg","2008","Not applicable","Not applicable","Percent","87.567"
"Luxembourg","2007","Not applicable","Not applicable","Percent","87.2491"
"Luxembourg","2006","Not applicable","Not applicable","Percent","86.20202"
"Luxembourg","2005","Not applicable","Not applicable","Percent","86.47242"
"Luxembourg","2004","Not applicable","Not applicable","Percent","87.04481"
"Luxembourg","2003","Not applicable","Not applicable","Percent","88.43711"
"Luxembourg","2002","Not applicable","Not applicable","Percent","88.78465"
"Luxembourg","2001","Not applicable","Not applicable","Percent","90.44564"
"Macao Special Administrative Region of China","2013","Not applicable","Not applicable","Percent","79.75291"
"Macao Special Administrative Region of China","2012","Not applicable","Not applicable","Percent","78.6284"
"Macao Special Administrative Region of China","2003","Not applicable","Not applicable","Percent","88.54223"
"Macao Special Administrative Region of China","2002","Not applicable","Not applicable","Percent","90.83266"
"Macao Special Administrative Region of China","2000","Not applicable","Not applicable","Percent","92.11823"
"Madagascar","2013","Not applicable","Not applicable","Percent","72.59446"
"Madagascar","2011","Not applicable","Not applicable","Percent","89.13951"
"Madagascar","2008","Not applicable","Not applicable","Percent","92.4723"
"Madagascar","2007","Not applicable","Not applicable","Percent","84.02342"
"Madagascar","2006","Not applicable","Not applicable","Percent","86.21558"
"Madagascar","2005","Not applicable","Not applicable","Percent","83.03209"
"Malawi","2014","Not applicable","Not applicable","Percent","84.62191"
"Malawi","2013","Not applicable","Not applicable","Percent","76.3178"
"Malawi","2012","Not applicable","Not applicable","Percent","69.63576"
"Malawi","2011","Not applicable","Not applicable","Percent","69.74295"
"Malawi","2010","Not applicable","Not applicable","Percent","71.46154"
"Malaysia","2011","Not applicable","Not applicable","Percent","75.27759"
"Malaysia","2010","Not applicable","Not applicable","Percent","89.19186"
"Malaysia","2009","Not applicable","Not applicable","Percent","81.57572"
"Malaysia","2007","Not applicable","Not applicable","Percent","85.43452"
"Malaysia","2006","Not applicable","Not applicable","Percent","81.36914"
"Malaysia","2004","Not applicable","Not applicable","Percent","72.24767"
"Malaysia","2003","Not applicable","Not applicable","Percent","77.41336"
"Malaysia","2002","Not applicable","Not applicable","Percent","80.5366"
"Malaysia","2001","Not applicable","Not applicable","Percent","74.7258"
"Malaysia","2000","Not applicable","Not applicable","Percent","79.0925"
"Malaysia","1999","Not applicable","Not applicable","Percent","77.39308"
"Malaysia","1998","Not applicable","Not applicable","Percent","81.11469"
"Mali","2014","Not applicable","Not applicable","Percent","54.96892"
"Mali","2013","Not applicable","Not applicable","Percent","63.68662"
"Mali","2012","Not applicable","Not applicable","Percent","64.35874"
"Mali","2011","Not applicable","Not applicable","Percent","60.4379"
"Mali","2010","Not applicable","Not applicable","Percent","65.88386"
"Mali","2009","Not applicable","Not applicable","Percent","84.93205"
"Mali","2008","Not applicable","Not applicable","Percent","66.15464"
"Malta","2012","Not applicable","Not applicable","Percent","90.26627"
"Malta","2011","Not applicable","Not applicable","Percent","61.09448"
"Malta","2010","Not applicable","Not applicable","Percent","85.6311"
"Malta","2009","Not applicable","Not applicable","Percent","83.54346"
"Malta","2008","Not applicable","Not applicable","Percent","81.3529"
"Malta","2007","Not applicable","Not applicable","Percent","78.17607"
"Malta","2004","Not applicable","Not applicable","Percent","83.64596"
"Malta","2002","Not applicable","Not applicable","Percent","90.44069"
"Malta","1998","Not applicable","Not applicable","Percent","87.59859"
"Marshall Islands","2002","Not applicable","Not applicable","Percent","82.6147"
"Mauritius","2014","Not applicable","Not applicable","Percent","98.61719"
"Mauritius","2013","Not applicable","Not applicable","Percent","98.67448"
"Mauritius","2010","Not applicable","Not applicable","Percent","52.94118"
"Mexico","2011","Not applicable","Not applicable","Percent","90.82589"
"Mexico","2010","Not applicable","Not applicable","Percent","90.51414"
"Mexico","2009","Not applicable","Not applicable","Percent","90.58197"
"Mexico","2008","Not applicable","Not applicable","Percent","91.47703"
"Mexico","2007","Not applicable","Not applicable","Percent","89.91127"
"Mexico","2006","Not applicable","Not applicable","Percent","88.70301"
"Mexico","2005","Not applicable","Not applicable","Percent","89.9033"
"Mexico","2004","Not applicable","Not applicable","Percent","93.06303"
"Mexico","2003","Not applicable","Not applicable","Percent","90.39539"
"Mexico","2002","Not applicable","Not applicable","Percent","92.41844"
"Mexico","2001","Not applicable","Not applicable","Percent","91.36535"
"Moldova","2014","Not applicable","Not applicable","Percent","75.49778"
"Moldova","2013","Not applicable","Not applicable","Percent","74.83675"
"Moldova","2012","Not applicable","Not applicable","Percent","73.75335"
"Moldova","2011","Not applicable","Not applicable","Percent","74.01006"
"Moldova","2010","Not applicable","Not applicable","Percent","74.06985"
"Moldova","2009","Not applicable","Not applicable","Percent","74.18236"
"Moldova","2008","Not applicable","Not applicable","Percent","69.05682"
"Monaco","2014","Not applicable","Not applicable","Percent","97.52278"
"Monaco","2013","Not applicable","Not applicable","Percent","96.45657"
"Monaco","2012","Not applicable","Not applicable","Percent","97.46387"
"Monaco","2011","Not applicable","Not applicable","Percent","97.06273"
"Monaco","2010","Not applicable","Not applicable","Percent","94.79681"
"Monaco","2009","Not applicable","Not applicable","Percent","93.99787"
"Monaco","2004","Not applicable","Not applicable","Percent","97.2993"
"Monaco","2000","Not applicable","Not applicable","Percent","97.14971"
"Monaco","1999","Not applicable","Not applicable","Percent","96.88162"
"Monaco","1998","Not applicable","Not applicable","Percent","98.4353"
"Mongolia","2011","Not applicable","Not applicable","Percent","61.97469"
"Mongolia","2007","Not applicable","Not applicable","Percent","70.41006"
"Mongolia","2000","Not applicable","Not applicable","Percent","48.00821"
"Mongolia","1999","Not applicable","Not applicable","Percent","47.10413"
"Mongolia","1998","Not applicable","Not applicable","Percent","43.95405"
"Montserrat","2001","Not applicable","Not applicable","Percent","94.30988"
"Montserrat","2000","Not applicable","Not applicable","Percent","88.56746"
"Montserrat","1998","Not applicable","Not applicable","Percent","94.12748"
"Morocco","2009","Not applicable","Not applicable","Percent","86.39632"
"Morocco","2005","Not applicable","Not applicable","Percent","94.24919"
"Morocco","2004","Not applicable","Not applicable","Percent","93.19972"
"Morocco","2002","Not applicable","Not applicable","Percent","91.08796"
"Morocco","2001","Not applicable","Not applicable","Percent","91.46628"
"Morocco","1999","Not applicable","Not applicable","Percent","94.11952"
"Morocco","1998","Not applicable","Not applicable","Percent","93.19189"
"Mozambique","2013","Not applicable","Not applicable","Percent","72.51398"
"Mozambique","2012","Not applicable","Not applicable","Percent","72.51398"
"Mozambique","2006","Not applicable","Not applicable","Percent","72.73234"
"Mozambique","2004","Not applicable","Not applicable","Percent","85.63089"
"Namibia","2010","Not applicable","Not applicable","Percent","69.38988"
"Namibia","2008","Not applicable","Not applicable","Percent","87.03974"
"Namibia","2000","Not applicable","Not applicable","Percent","80.41974"
"Nepal","2009","Not applicable","Not applicable","Percent","85.23563"
"Nepal","2008","Not applicable","Not applicable","Percent","93.12244"
"Netherlands","2012","Not applicable","Not applicable","Percent","80.73644"
"Netherlands","2011","Not applicable","Not applicable","Percent","80.71849"
"Netherlands","2010","Not applicable","Not applicable","Percent","80.27251"
"Netherlands","2009","Not applicable","Not applicable","Percent","80.48929"
"Netherlands","2008","Not applicable","Not applicable","Percent","79.9104"
"Netherlands","2007","Not applicable","Not applicable","Percent","79.39644"
"Netherlands","2006","Not applicable","Not applicable","Percent","80.42433"
"Netherlands","2005","Not applicable","Not applicable","Percent","81.8079"
"Netherlands","2004","Not applicable","Not applicable","Percent","82.49999"
"Netherlands","2003","Not applicable","Not applicable","Percent","82.32484"
"Netherlands","2002","Not applicable","Not applicable","Percent","81.85378"
"Netherlands","2001","Not applicable","Not applicable","Percent","83.27289"
"Netherlands","2000","Not applicable","Not applicable","Percent","82.77665"
"Netherlands","1999","Not applicable","Not applicable","Percent","82.9411"
"Netherlands","1998","Not applicable","Not applicable","Percent","72.36467"
"Nicaragua","2010","Not applicable","Not applicable","Percent","89.99102"
"Nicaragua","2006","Not applicable","Not applicable","Percent","87.67638"
"Nicaragua","2005","Not applicable","Not applicable","Percent","97.85975"
"Niger","2014","Not applicable","Not applicable","Percent","71.76109"
"Niger","2013","Not applicable","Not applicable","Percent","80.32099"
"Niger","2012","Not applicable","Not applicable","Percent","81.92818"
"Niger","2011","Not applicable","Not applicable","Percent","82.07294"
"Niger","2010","Not applicable","Not applicable","Percent","86.93036"
"Niger","2009","Not applicable","Not applicable","Percent","73.24082"
"Norway","2011","Not applicable","Not applicable","Percent","79.51693"
"Norway","2010","Not applicable","Not applicable","Percent","78.6732"
"Norway","2009","Not applicable","Not applicable","Percent","77.20177"
"Norway","2008","Not applicable","Not applicable","Percent","77.4798"
"Norway","2007","Not applicable","Not applicable","Percent","77.80627"
"Norway","2005","Not applicable","Not applicable","Percent","78.61837"
"Norway","2004","Not applicable","Not applicable","Percent","78.88542"
"Norway","2003","Not applicable","Not applicable","Percent","79.22812"
"Norway","2002","Not applicable","Not applicable","Percent","79.38996"
"Oman","2013","Not applicable","Not applicable","Percent","87.13866"
"Oman","2011","Not applicable","Not applicable","Percent","88.77512"
"Oman","2008","Not applicable","Not applicable","Percent","99.62592"
"Oman","2007","Not applicable","Not applicable","Percent","99.54032"
"Oman","2004","Not applicable","Not applicable","Percent","99.3337"
"Oman","2002","Not applicable","Not applicable","Percent","98.91104"
"Oman","2001","Not applicable","Not applicable","Percent","99.45495"
"Oman","1999","Not applicable","Not applicable","Percent","98.35298"
"Panama","2002","Not applicable","Not applicable","Percent","81.38688"
"Panama","2001","Not applicable","Not applicable","Percent","71.7716"
"Paraguay","2012","Not applicable","Not applicable","Percent","95.13513"
"Paraguay","2011","Not applicable","Not applicable","Percent","91.36314"
"Paraguay","2010","Not applicable","Not applicable","Percent","93.71205"
"Paraguay","2007","Not applicable","Not applicable","Percent","86.99337"
"Paraguay","2004","Not applicable","Not applicable","Percent","91.85775"
"Paraguay","2003","Not applicable","Not applicable","Percent","89.71906"
"Paraguay","2002","Not applicable","Not applicable","Percent","88.20708"
"Peru","2014","Not applicable","Not applicable","Percent","76.54799"
"Peru","2013","Not applicable","Not applicable","Percent","88.08417"
"Peru","2012","Not applicable","Not applicable","Percent","83.42948"
"Peru","2011","Not applicable","Not applicable","Percent","86.03271"
"Peru","2010","Not applicable","Not applicable","Percent","85.83364"
"Peru","2009","Not applicable","Not applicable","Percent","86.25913"
"Peru","2008","Not applicable","Not applicable","Percent","87.42247"
"Peru","2007","Not applicable","Not applicable","Percent","86.25537"
"Peru","2006","Not applicable","Not applicable","Percent","93.37958"
"Peru","2005","Not applicable","Not applicable","Percent","95.97981"
"Peru","2004","Not applicable","Not applicable","Percent","93.12563"
"Peru","2003","Not applicable","Not applicable","Percent","95.72068"
"Peru","2002","Not applicable","Not applicable","Percent","96.02082"
"Peru","2001","Not applicable","Not applicable","Percent","91.80857"
"Peru","2000","Not applicable","Not applicable","Percent","91.58701"
"Peru","1999","Not applicable","Not applicable","Percent","92.85259"
"Peru","1998","Not applicable","Not applicable","Percent","72.25421"
"Philippines","2009","Not applicable","Not applicable","Percent","76.62674"
"Philippines","2008","Not applicable","Not applicable","Percent","77.50715"
"Philippines","2007","Not applicable","Not applicable","Percent","79.26458"
"Philippines","2005","Not applicable","Not applicable","Percent","84.03013"
"Philippines","2004","Not applicable","Not applicable","Percent","86.01385"
"Philippines","2003","Not applicable","Not applicable","Percent","89.59907"
"Philippines","2002","Not applicable","Not applicable","Percent","90.38579"
"Philippines","2001","Not applicable","Not applicable","Percent","83.59114"
"Philippines","2000","Not applicable","Not applicable","Percent","83.59114"
"Philippines","1998","Not applicable","Not applicable","Percent","90.59476"
"Poland","2011","Not applicable","Not applicable","Percent","68.4823"
"Poland","2010","Not applicable","Not applicable","Percent","67.95882"
"Poland","2009","Not applicable","Not applicable","Percent","66.08835"
"Poland","2008","Not applicable","Not applicable","Percent","65.5014"
"Poland","2007","Not applicable","Not applicable","Percent","71.13484"
"Poland","2006","Not applicable","Not applicable","Percent","80.94485"
"Poland","2005","Not applicable","Not applicable","Percent","70.56983"
"Poland","2004","Not applicable","Not applicable","Percent","71.62089"
"Poland","2003","Not applicable","Not applicable","Percent","66.14927"
"Poland","2002","Not applicable","Not applicable","Percent","69.93182"
"Poland","1999","Not applicable","Not applicable","Percent","74.26899"
"Poland","1998","Not applicable","Not applicable","Percent","73.58527"
"Portugal","2011","Not applicable","Not applicable","Percent","90.88546"
"Portugal","2010","Not applicable","Not applicable","Percent","92.27748"
"Portugal","2009","Not applicable","Not applicable","Percent","91.21211"
"Portugal","2008","Not applicable","Not applicable","Percent","93.26787"
"Portugal","2007","Not applicable","Not applicable","Percent","93.84078"
"Portugal","2006","Not applicable","Not applicable","Percent","94.5393"
"Portugal","2005","Not applicable","Not applicable","Percent","94.68255"
"Portugal","2004","Not applicable","Not applicable","Percent","94.049"
"Portugal","2003","Not applicable","Not applicable","Percent","94.5692"
"Portugal","2002","Not applicable","Not applicable","Percent","96.65779"
"Portugal","2001","Not applicable","Not applicable","Percent","93.9911"
"Portugal","2000","Not applicable","Not applicable","Percent","94.42934"
"Portugal","1999","Not applicable","Not applicable","Percent","94.07707"
"Portugal","1998","Not applicable","Not applicable","Percent","94.10875"
"Puerto Rico","2013","Not applicable","Not applicable","Percent","64.26063"
"Republic of Korea","2013","Not applicable","Not applicable","Percent","72.1072"
"Republic of Korea","2012","Not applicable","Not applicable","Percent","70.37092"
"Republic of Korea","2009","Not applicable","Not applicable","Percent","70.0496"
"Republic of Korea","2008","Not applicable","Not applicable","Percent","73.78009"
"Republic of Korea","2007","Not applicable","Not applicable","Percent","66.94325"
"Republic of Korea","2006","Not applicable","Not applicable","Percent","74.40318"
"Republic of Korea","2005","Not applicable","Not applicable","Percent","74.90773"
"Republic of Korea","2004","Not applicable","Not applicable","Percent","74.30457"
"Republic of Korea","2003","Not applicable","Not applicable","Percent","69.67073"
"Republic of Korea","2002","Not applicable","Not applicable","Percent","70.68905"
"Republic of Korea","1999","Not applicable","Not applicable","Percent","81.76314"
"Republic of Korea","1998","Not applicable","Not applicable","Percent","77.13405"
"Romania","2012","Not applicable","Not applicable","Percent","68.76608"
"Romania","2011","Not applicable","Not applicable","Percent","70.81021"
"Romania","2010","Not applicable","Not applicable","Percent","77.27666"
"Romania","2009","Not applicable","Not applicable","Percent","79.5477"
"Romania","2007","Not applicable","Not applicable","Percent","71.59001"
"Romania","2005","Not applicable","Not applicable","Percent","76.71874"
"Romania","2004","Not applicable","Not applicable","Percent","76.39851"
"Romania","2003","Not applicable","Not applicable","Percent","78.42396"
"Romania","2002","Not applicable","Not applicable","Percent","80.28852"
"Romania","2001","Not applicable","Not applicable","Percent","79.20149"
"Romania","1998","Not applicable","Not applicable","Percent","77.28328"
"Rwanda","2011","Not applicable","Not applicable","Percent","54.01722"
"Rwanda","2010","Not applicable","Not applicable","Percent","56.44892"
"Saint Kitts and Nevis","2013","Not applicable","Not applicable","Percent","96.71038"
"Saint Kitts and Nevis","1998","Not applicable","Not applicable","Percent","98.71015"
"Saint Lucia","2014","Not applicable","Not applicable","Percent","86.16252"
"Saint Lucia","2013","Not applicable","Not applicable","Percent","77.92393"
"Saint Lucia","2008","Not applicable","Not applicable","Percent","83.73286"
"Saint Lucia","2006","Not applicable","Not applicable","Percent","88.14432"
"Saint Lucia","2005","Not applicable","Not applicable","Percent","89.00638"
"Saint Lucia","2004","Not applicable","Not applicable","Percent","91.32739"
"Saint Lucia","1999","Not applicable","Not applicable","Percent","94.26743"
"Saint Vincent and the Grenadines","2014","Not applicable","Not applicable","Percent","93.46174"
"Saint Vincent and the Grenadines","2013","Not applicable","Not applicable","Percent","93.1885"
"Saint Vincent and the Grenadines","2012","Not applicable","Not applicable","Percent","93.11406"
"Saint Vincent and the Grenadines","2010","Not applicable","Not applicable","Percent","98.39715"
"Saint Vincent and the Grenadines","2009","Not applicable","Not applicable","Percent","93.54806"
"Saint Vincent and the Grenadines","2007","Not applicable","Not applicable","Percent","96.02779"
"Saint Vincent and the Grenadines","2005","Not applicable","Not applicable","Percent","90.69962"
"Saint Vincent and the Grenadines","2002","Not applicable","Not applicable","Percent","92.14609"
"Saint Vincent and the Grenadines","2000","Not applicable","Not applicable","Percent","93.04322"
"San Marino","2011","Not applicable","Not applicable","Percent","97.49966"
"San Marino","2010","Not applicable","Not applicable","Percent","98.25088"
"Sao Tome and Principe","2014","Not applicable","Not applicable","Percent","94.64106"
"Sao Tome and Principe","2013","Not applicable","Not applicable","Percent","60.14819"
"Sao Tome and Principe","2012","Not applicable","Not applicable","Percent","87.94271"
"Senegal","2010","Not applicable","Not applicable","Percent","62.90824"
"Serbia","2013","Not applicable","Not applicable","Percent","84.96816"
"Serbia","2011","Not applicable","Not applicable","Percent","81.62651"
"Serbia","2010","Not applicable","Not applicable","Percent","81.7591"
"Serbia","2009","Not applicable","Not applicable","Percent","82.60551"
"Serbia","2008","Not applicable","Not applicable","Percent","80.6339"
"Serbia","2007","Not applicable","Not applicable","Percent","80.06627"
"Seychelles","2011","Not applicable","Not applicable","Percent","92.54527"
"Seychelles","2006","Not applicable","Not applicable","Percent","86.54752"
"Seychelles","2003","Not applicable","Not applicable","Percent","93.55085"
"Seychelles","2002","Not applicable","Not applicable","Percent","92.97204"
"Sierra Leone","2011","Not applicable","Not applicable","Percent","95.97985"
"Sierra Leone","2010","Not applicable","Not applicable","Percent","98.40669"
"Sierra Leone","2009","Not applicable","Not applicable","Percent","95.14264"
"Sierra Leone","2008","Not applicable","Not applicable","Percent","99.63296"
"Sierra Leone","2007","Not applicable","Not applicable","Percent","99.2456"
"Sierra Leone","2004","Not applicable","Not applicable","Percent","73.69766"
"Slovakia","2012","Not applicable","Not applicable","Percent","67.85078"
"Slovakia","2011","Not applicable","Not applicable","Percent","66.63052"
"Slovakia","2010","Not applicable","Not applicable","Percent","65.66001"
