"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Croatia","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","4255689",""
"Croatia","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","4262140",""
"Croatia","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","4267558",""
"Croatia","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2014","4284889",""
"Croatia","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","4280622",""
"Croatia","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","4295427",""
"Cuba","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","11224190",""
"Cuba","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","11191608",""
"Cuba","2012","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2014","11167325",""
"Cuba","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","11174287",""
"Cuba","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","11171679",""
"Cuba","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","11171443",""
"Curaçao","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","155909","33"
"Curaçao","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","153820.5","33"
"Curaçao","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","152760",""
"Curaçao","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","151336",""
"Curaçao","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","152088","33"
"Curaçao","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2013","150563",""
"Curaçao","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","150147",""
"Curaçao","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","150831","34"
"Curaçao","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","148703","34"
"Curaçao","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","146347",""
"Cyprus","2014","Total","Both Sexes","Estimate - de jure","Provisional figure with questionable reliability","2014","858000","35"
"Cyprus","2013","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","861930","35,36"
"Cyprus","2012","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","863945","35,36"
"Cyprus","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","840407","35"
"Cyprus","2011","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","850881","35,36"
"Cyprus","2010","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","829446","35,36"
"Czech Republic","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","10512419",""
"Czech Republic","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","10510719",""
"Czech Republic","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","10516125",""
"Czech Republic","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","10510785.5",""
"Czech Republic","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","10505445",""
"Czech Republic","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","10436560",""
"Czech Republic","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","10496088",""
"Czech Republic","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","10474410",""
"Denmark","2015","Total","Both Sexes","Estimate - de jure","Provisional figure","2015","5660000","2,37"
"Denmark","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","5639719","2,37"
"Denmark","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","5602628","2,37"
"Denmark","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","5608784","2,37"
"Denmark","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","5587085","2,37"
"Denmark","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","5580516","2,37"
"Denmark","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2015","5560628","2,37"
"Denmark","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","5566856","2,37"
"Denmark","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","5545039","2,37"
"Djibouti","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","864618","38"
"Djibouti","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","841068","38"
"Dominica","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","69623",""
"Dominica","2011","Total","Both Sexes","Census - de facto - complete tabulation","Provisional figure","2012","71293",""
"Dominica","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2012","69017",""
"Dominican Republic","2015","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","9980243","8"
"Dominican Republic","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","9883486","8"
"Dominican Republic","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","9784680","8"
"Dominican Republic","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","9680963","8"
"Dominican Republic","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","9580139","8"
"Dominican Republic","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","9445281",""
"Dominican Republic","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","9478612","8"
"Ecuador","2015","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","16278844","10,39"
"Ecuador","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","16027466","10,39"
"Ecuador","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","15774749","10,39"
"Ecuador","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","15520973","10,39"
"Ecuador","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","15266431","10,39"
"Ecuador","2010","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2012","14483499",""
"Ecuador","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2015","14459077",""
"Ecuador","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","15012228","10,39"
"Egypt","2015","Total","Both Sexes","Estimate - de facto","Provisional figure with questionable reliability","2015","87963000",""
"Egypt","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","86813723",""
"Egypt","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","84628982",""
"Egypt","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","82549976",""
"Egypt","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","81395541",""
"Egypt","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","80529566",""
"Egypt","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","78684622",""
"El Salvador","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","6328195.728","40"
"El Salvador","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","6288899","40"
"El Salvador","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","6251495","40"
"El Salvador","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","6216143","40"
"El Salvador","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","6183002","40"
"Estonia","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","1315819",""
"Estonia","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","1317997",""
"Estonia","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","1320174",""
"Estonia","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","1322696",""
"Estonia","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","1294455",""
"Estonia","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","1327439",""
"Estonia","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","1331475",""
"Faeroe Islands","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","48160",""
"Faeroe Islands","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","48151.5",""
"Faeroe Islands","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","48363",""
"Faeroe Islands","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","48351",""
"Faeroe Islands","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2015","48346",""
"Faeroe Islands","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","48541.5",""
"Faeroe Islands","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","48515",""
"Faeroe Islands","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","48568",""
"Faeroe Islands","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","48635",""
"Fiji","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","859200","41"
"Fiji","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","858000",""
"Fiji","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","857000",""
"Finland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","5451270","2"
"Finland","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","5426674","2"
"Finland","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","5410388.5","2,42"
"Finland","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","5385543","2,42"
"Finland","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","5401267","2"
"Finland","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","5360091","2,42"
"Finland","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2011","5375276",""
"Finland","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","5335481","2,42"
"France","2014","Total","Both Sexes","Estimate - de jure","Provisional figure","2014","64062247","43"
"France","2014","Total","Both Sexes","Estimate - de jure","Provisional figure","2013","63928608","43"
"France","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","63659608","43"
"France","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","63794108","43"
"France","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","63519076.5","43"
"France","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","63223158","43"
"France","2010","Total","Both Sexes","Census - de jure - sample tabulation","Final figure, complete","2014","62765235","43"
"France","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","62917790","43"
"French Guiana","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2014","229040",""
"French Guiana","2010","Total","Both Sexes","Estimate - de jure","Provisional figure","2012","230441",""
"French Polynesia","2012","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2014","268207",""
"French Polynesia","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","269989",""
"French Polynesia","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2012","268500",""
"Gambia","2013","Total","Both Sexes","Census - de facto - complete tabulation","Provisional figure","2014","1882450",""
"Georgia","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","4490498",""
"Georgia","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","4490700",""
"Georgia","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2012","4469250",""
"Georgia","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2012","4483400",""
"Georgia","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","4452800",""
"Germany","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","80767463",""
"Germany","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","80645605",""
"Germany","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","80425823",""
"Germany","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","81843743",""
"Germany","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2014","80219695",""
"Germany","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","80209997",""
"Germany","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","81751602",""
"Germany","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","81757471",""
"Ghana","2015","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","27670174","8"
"Ghana","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","27043093","8"
"Ghana","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","26427760","8"
"Ghana","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","25824920","8"
"Ghana","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","25235268","8"
"Ghana","2010","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2013","24658823",""
"Gibraltar","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","32734","44"
"Gibraltar","2012","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2015","32194","44"
"Gibraltar","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","32577","44"
"Gibraltar","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","32003","44"
"Gibraltar","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","31465","44"
"Greece","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","10903704","45"
"Greece","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","11027549","46"
"Greece","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","11062508","46"
"Greece","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","11123034","46"
"Greece","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","11092771","46"
"Greece","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2014","10816286",""
"Greece","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2014","9904286",""
"Greece","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","11123213","46"
"Greece","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","11123392","46"
"Greece","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","11183516","46"
"Greece","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","11153454","46"
"Greenland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","56295","2"
"Greenland","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","56483","2"
"Greenland","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","56810","2"
"Greenland","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","56615","2"
"Greenland","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","56682","2"
"Greenland","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","56452","2"
"Greenland","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","56534","2"
"Grenada","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","108580",""
"Grenada","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","107599",""
"Grenada","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","106667",""
"Grenada","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","105038",""
"Guadeloupe","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","403750","47"
"Guadeloupe","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","403645","47"
"Guadeloupe","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","403314","47"
"Guadeloupe","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","404635","47"
"Guadeloupe","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2014","403355","47"
"Guadeloupe","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","403355","47"
"Guam","2015","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","161785","3"
"Guam","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","161001","3,10"
"Guam","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","160378","3,10"
"Guam","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","159914","3,10"
"Guam","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","159600","3,10"
"Guam","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2013","159358",""
"Guatemala","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","15073375","48"
"Guatemala","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","14713763","48"
"Guatemala","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","14361666","48"
"Guernsey","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","62711",""
"Guernsey","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","62732",""
"Guernsey","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","63085",""
"Guernsey","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","63085",""
"Guernsey","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","62915",""
"Guernsey","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","62431",""
"Guinea","2014","Total","Both Sexes","Census - de facto - complete tabulation","Provisional figure","2015","10628972",""
"Guinea","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","10863888","8"
"Guinea","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2015","10537234","8"
"Guinea-Bissau","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2012","1558090","8"
"Guyana","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","746880",""
"Guyana","2012","Total","Both Sexes","Census - de facto - complete tabulation","Provisional figure","2014","747884",""
"Guyana","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","748917",""
"Guyana","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","750663",""
"Guyana","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","752113",""
"Haiti","2012","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2013","10413211","49"
"Haiti","2011","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2012","10248306","49"
"Haiti","2010","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2011","10085214","49"
"Holy See","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2012","451","50,51"
"Holy See","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","805","50,52"
"Holy See","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2010","466","50,53"
"Holy See","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2010","460","50,54"
"Holy See","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","793","50,52"
"Holy See","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","793","50,52"
"Honduras","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2012","8215313","55"
"Honduras","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2011","8045990","55"
"Hungary","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","9877365","45"
"Hungary","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","9893899",""
"Hungary","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","9908798",""
"Hungary","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","9931925",""
"Hungary","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","9920361.5",""
"Hungary","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2013","9937628",""
"Hungary","2011","Total","Both Sexes","Census - de jure - complete tabulation","Provisional figure","2013","9982000",""
"Hungary","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","9971726.5",""
"Hungary","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","10000023",""
"Iceland","2015","Total","Both Sexes","Estimate - de jure","Provisional figure","2015","329100",""
"Iceland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","325671","56"
"Iceland","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","323764","56"
"Iceland","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","321857","56"
"Iceland","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","320716","56"
"Iceland","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","319575","56"
"Iceland","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","319013.5","56,57"
"Iceland","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2011","318006","56"
"India","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","1213370000","58,59"
"India","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2014","1210854977","59"
"India","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","1197813000","58,59"
"India","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2013","1182105000","58,59"
"Indonesia","2015","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","255461700","60"
"Indonesia","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","252164800","60"
"Indonesia","2013","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","248818100","60"
"Indonesia","2012","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","245425200","60"
"Indonesia","2011","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","241990700","60"
"Indonesia","2010","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","237641326",""
"Indonesia","2010","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","238518800","60"
"Iran (Islamic Republic of)","2015","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2015","78773093","61"
"Iran (Islamic Republic of)","2014","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","77856411","61"
"Iran (Islamic Republic of)","2013","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","76942276","61"
"Iran (Islamic Republic of)","2012","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2014","76037535","61"
"Iran (Islamic Republic of)","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","75149669",""
"Iran (Islamic Republic of)","2010","Total","Both Sexes","Estimate - de jure","Final figure, incomplete/questionable reliability","2011","74339576","61"
"Iraq","2014","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","35695165",""
"Iraq","2013","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","34794193.8820092",""
"Iraq","2012","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","33913304.9725184",""
"Iraq","2011","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","33051526.4242776",""
"Iraq","2010","Total","Both Sexes","Estimate - de facto","Final figure, incomplete/questionable reliability","2014","32210813.2918825",""
"Ireland","2014","Total","Both Sexes","Estimate - de facto","Final figure, complete","2015","4605501","45"
"Ireland","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","4609600",""
"Ireland","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","4597558",""
"Ireland","2013","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","4591087",""
"Ireland","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","4593125",""
"Ireland","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","4582707",""
"Ireland","2012","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","4586897",""
"Ireland","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","4585407",""
"Ireland","2011","Total","Both Sexes","Census - de facto - complete tabulation","Final figure, complete","2012","4588252",""
"Ireland","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","4525281",""
"Ireland","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","4484323",""
"Ireland","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","4570881",""
"Ireland","2011","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","4576794",""
"Ireland","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","4574888",""
"Ireland","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2013","4549428",""
"Ireland","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2011","4470700",""
"Ireland","2010","Total","Both Sexes","Estimate - de facto","Final figure, complete","2014","4560155",""
"Ireland","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","4554763",""
"Isle of Man","2015","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","86963.2838339427",""
"Isle of Man","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","86322.4117332048",""
"Isle of Man","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","85682.0890421853",""
"Isle of Man","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","85047.305825016",""
"Isle of Man","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2015","84497",""
"Isle of Man","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","82691.2354862317",""
"Israel","2014","Total","Both Sexes","Estimate - de jure","Provisional figure","2015","8215576","62"
"Israel","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2015","8059456.32","62"
"Israel","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","7910525","62"
"Israel","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","7765832","62"
"Israel","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","7623561","62"
"Italy","2014","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","60782668","45"
"Italy","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","60233947.5",""
"Italy","2013","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","59685227",""
"Italy","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","59394207",""
"Italy","2012","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","59539717",""
"Italy","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2012","59433744",""
"Italy","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","59379448.5",""
"Italy","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","59364690",""
"Italy","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","59190143",""
"Italy","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2014","59277416.5",""
"Jamaica","2012","Total","Both Sexes","Estimate - de jure","Provisional figure","2013","2707805",""
"Jamaica","2011","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","2013","2697983",""
"Jamaica","2011","Total","Both Sexes","Estimate - de jure","Final figure, complete","2013","2699838",""
"Jamaica","2010","Total","Both Sexes","Estimate - de jure","Final figure, complete","2012","2702314",""
